

2021-08-26 08:41:04.530565, 66.249.64.242, United States, California, 37.422, -122.084
2021-09-02 20:51:39.308056, 107.173.204.98, United States, New York, 42.893, -78.8753
2021-09-04 11:57:49.439948, 74.91.26.26, United States, Missouri, 39.1374, -94.5786
2021-09-14 23:08:14.460904, 138.219.121.248, United States, New Jersey, 40.8492, -73.9735
2021-09-17 02:57:48.841065, 66.249.64.76, United States, California, 37.422, -122.084
2021-09-17 05:57:47.754107, 66.249.64.109, United States, California, 37.422, -122.084
2021-09-17 08:57:40.606605, 66.249.64.81, United States, California, 37.422, -122.084
2021-09-25 16:28:58.021565, 143.198.145.39, United States, California, 37.3931, -121.962
2021-09-27 16:04:51.653375, 116.202.128.228, Germany, Saxony, 50.475, 12.365
2021-09-27 18:58:15.193867, 202.94.175.230, Japan, Tokyo, 35.6887, 139.745
