
2021-08-26 05:41:04.655079, 66.249.64.246, United States, California, 37.422, -122.084
2021-08-26 06:41:02.562762, 66.249.64.242, United States, California, 37.422, -122.084
2021-09-02 20:52:06.488714, 107.173.204.98, United States, New York, 42.893, -78.8753
2021-09-04 11:57:55.637645, 74.91.26.26, United States, Missouri, 39.1374, -94.5786
2021-09-13 15:05:59.693155, 66.249.69.217, United States, California, 37.422, -122.084
2021-09-14 23:08:28.033002, 138.219.121.248, United States, New Jersey, 40.8492, -73.9735
2021-09-17 05:12:48.812644, 66.249.64.97, United States, California, 37.422, -122.084
2021-09-25 16:26:00.152035, 147.182.242.109, United States, California, 37.3931, -121.962
2021-09-27 16:04:45.959330, 116.202.128.228, Germany, Saxony, 50.475, 12.365
2021-09-27 18:59:14.982817, 202.94.175.230, Japan, Tokyo, 35.6887, 139.745
