20211116 53
20211117 49
20211118 62
20211119 66
20211120 45
20211121 45
20211122 97
20211123 64
20211124 55
20211125 53
20211126 50
20211127 55
20211128 8
20211129 61
20211130 70
20211201 97
20211202 51
20211203 73
20211204 63
20211205 12
20211206 79
20211207 51
20211208 45
20211209 74
20211210 58
20211211 39
20211212 7
20211213 70
20211214 63
20211215 57
20211216 52
20211217 46
20211218 28
20211219 11
20211220 40
20211221 38
20211222 49
20211223 45
20211224 56
20211225 5
20211226 21
20211227 88
20211228 110
20211229 85
20211230 129
20211231 92
20220101 23
20220102 43
20220103 181
20220104 251
20220105 367
20220106 385
20220107 357
20220108 493
20220109 233
20220110 613
20220111 713
20220112 923
20220113 1206
20220114 1528
20220115 1348
20220116 517
20220117 1791
20220118 1946
20220119 2102
20220120 1867
20220121 1823
20220122 1461
20220123 613
20220124 1785
20220125 1560
20220126 1377
20220127 1309
20220128 1095
20220129 952
20220130 309
20220131 855
20220201 564
20220202 559
20220203 466
20220204 474
20220205 309
20220206 162
20220207 314
20220208 271
20220209 240
20220210 177
20220211 164
20220212 134
20220213 63
20220214 100
20220215 101
20220216 95
20220217 89
20220218 111
20220219 264
20220220 13
20220221 56
20220222 56
20220223 47
20220224 66
20220225 25
20220226 18
20220227 2
20220228 30
20220301 16
20220302 13
20220303 21
20220304 15
20220305 16
20220306 4
20220307 16
20220308 24
20220309 12
20220310 12
20220311 21
20220312 13
20220313 2
20220314 17
20220315 11
20220316 13
20220317 20
20220318 12
20220319 17
20220320 2
20220321 10
20220322 11
20220323 12
20220324 11
20220325 12
20220326 11
20220327 2
20220328 10
20220329 10
20220330 10
20220331 3
20220401 7
20220402 2
20220404 1
20220405 9
20220406 4
20220407 3
20220408 7
20220409 8
20220411 2
20220412 5
20220413 4
20220414 3
20220415 2
20220416 6
20220418 7
20220419 5
20220420 2
20220421 2
20220422 4
20220423 4
20220424 2
20220425 3
20220426 1
20220427 6
20220428 4
20220429 2
20220430 3
20220502 2
20220503 4
20220505 2
20220506 1
20220508 1
20220509 1
20220510 4
20220511 3
20220512 1
20220514 2
20220516 2
20220518 3
20220519 2
20220520 3
20220522 3
20220523 1
20220524 4
20220526 5
20220527 4
20220528 2
20220530 2
20220531 3
20220601 6
20220602 4
20220603 4
20220604 8
20220606 9
20220607 2
20220608 6
20220609 5
20220610 7
20220611 9
20220612 3
20220613 8
20220614 11
20220615 19
20220616 12
20220617 33
20220618 17
20220620 18
20220621 18
20220622 21
20220623 30
20220624 18
20220625 23
20220626 5
20220627 21
20220628 46
20220629 19
20220630 64
20220701 40
20220702 43
20220703 9
20220704 52
20220705 26
20220706 58
20220707 66
20220708 65
20220709 73
20220710 10
20220711 91
20220712 79
20220713 130
20220714 83
20220715 121
20220716 66
20220717 21
20220718 176
20220719 138
20220720 176
20220721 176
20220722 169
20220723 137
20220724 21
20220725 262
20220726 259
20220727 265
20220728 62
20220729 78
20220730 177
20220731 37
20220801 206
20220802 178
20220803 198
20220804 164
20220805 165
20220806 66
20220807 41
20220808 196
20220809 184
20220810 158
20220811 149
20220812 133
20220813 97
20220814 29
20220815 164
20220816 181
20220817 153
20220818 155
20220819 128
20220820 92
20220821 25
20220822 203
20220823 147
20220824 120
20220825 96
20220826 90
20220827 82
20220828 10
20220829 73
20220830 13
20220831 122
20220901 67
20220902 44
20220903 57
20220904 17
20220905 57
20220906 53
20220907 47
20220908 39
20220909 36
20220910 21
20220911 4
20220912 18
20220913 27
20220914 29
20220915 41
20220916 31
20220917 16
20220918 1
20220919 33
20220920 22
20220921 13
20220922 20
20220923 14
20220924 9
20220925 6
20220926 12
20220927 13
20220928 15
20220929 11
20220930 14
20221001 5
20221002 3
20221003 10
20221004 8
20221005 5
20221006 7
20221007 4
20221008 1
20221010 4
20221011 5
20221012 5
20221013 5
20221014 4
20221015 5
20221016 2
20221017 5
20221018 1
20221019 4
20221020 7
20221021 7
20221022 5
20221023 1
20221024 14
20221025 10
20221026 2
20221027 5
20221028 4
20221029 2
20221030 1
20221031 6
20221101 2
20221102 7
20221103 8
20221104 8
20221105 4
20221106 3
20221107 8
20221108 10
20221109 7
20221110 9
20221111 8
20221112 4
20221113 2
20221114 12
20221115 10
20221116 14
20221117 18
20221118 18
20221119 18
20221120 4
20221121 19
20221122 25
20221123 29
20221124 42
20221125 32
20221126 19
20221127 18
20221128 68
20221129 69
20221130 83
20221201 87
20221202 109
20221203 78
20221204 7
20221205 179
20221206 147
20221207 137
20221208 19
20221209 13
20221210 65
20221211 6
